WARNING: 09:37:28 - __main__:  Error updating the Bronkhorst Pressure buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Bronkhorst Pressure buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Bronkhorst Pressure buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Bronkhorst Pressure buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Melthead buffer timestamp: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Melthead buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:29 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:29 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:29 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:30 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 83, 125, 49, 100, 126]
WARNING: 09:37:30 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 83, 125, 49, 100, 126]
WARNING: 09:37:30 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 83, 125, 49, 100, 126]
WARNING: 09:37:30 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 83, 125, 49, 100, 126]
WARNING: 09:37:30 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 83, 125, 49, 100, 126]
WARNING: 09:37:30 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 83, 125, 49, 100, 126]
WARNING: 09:37:30 - main_pipeline.interpreter:  Unexpected error in processing flowmeter SLI2000: 'bool' object is not iterable
WARNING: 09:37:30 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:30 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:30 - sensor_interfaces.picarro_interface:  Picarro queried
