Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Laser Distance Sensor: Melt Rate (cm/s),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Abakus Particle Counter: Incremental Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1749519314.6509326,nan,nan,nan,nan,nan,nan,1749519314.6509326,nan,nan,nan,nan,nan,nan,1749519314.2209666,nan,-2.5,nan,1749519314.1378431,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519314.3629587,8.413333333333336,-0.016000000000000007,1749519315.1571505,nan,nan,nan,nan,1749519262.9586105,nan
1749519315.6619055,nan,nan,nan,nan,nan,nan,1749519315.6619055,nan,nan,nan,nan,nan,nan,1749519315.2302601,nan,-2.5,nan,1749519315.154159,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519315.3720922,8.640000000000002,-0.01666666666666667,1749519316.1482427,nan,nan,nan,nan,1749519262.9586105,nan
1749519316.6583483,nan,nan,nan,nan,nan,nan,1749519316.6583483,nan,nan,nan,nan,nan,nan,1749519316.2275345,nan,-2.5,nan,1749519316.1392622,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519316.3604782,8.359999999999998,-0.017199999999999997,1749519317.1646256,nan,nan,nan,nan,1749519262.9586105,nan
1749519317.6761131,nan,nan,nan,nan,nan,nan,1749519317.6761131,nan,nan,nan,nan,nan,nan,1749519317.245525,nan,-2.5,nan,1749519317.1616259,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519317.3843021,9.120000000000001,-0.016799999999999995,1749519318.1549942,nan,nan,nan,nan,1749519262.9586105,nan
1749519319.6565645,nan,nan,nan,nan,nan,nan,1749519319.6565645,nan,nan,nan,nan,nan,nan,1749519319.2289643,nan,-2.6,nan,1749519319.1513653,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519319.3661907,8.999999999999998,-0.017200000000000003,1749519320.1688473,nan,nan,nan,nan,1749519262.9586105,nan
1749519319.6565645,nan,nan,nan,nan,nan,nan,1749519319.6565645,nan,nan,nan,nan,nan,nan,1749519319.2289643,nan,-2.6,nan,1749519319.1513653,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519319.3661907,8.999999999999998,-0.017200000000000003,1749519320.1688473,nan,nan,nan,nan,1749519262.9586105,nan
1749519320.6711872,nan,nan,nan,nan,nan,nan,1749519320.6711872,nan,nan,nan,nan,nan,nan,1749519320.237196,nan,-2.6,nan,1749519320.1668808,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519320.389999,8.293333333333331,-0.017066666666666664,1749519321.1550136,nan,nan,nan,nan,1749519262.9586105,nan
1749519321.6694708,nan,nan,nan,nan,nan,nan,1749519321.6694708,nan,nan,nan,nan,nan,nan,1749519321.2290483,nan,-2.7,nan,1749519321.1530185,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519321.3641977,8.813333333333334,-0.017599999999999998,1749519322.163194,nan,nan,nan,nan,1749519262.9586105,nan
1749519323.6607013,nan,nan,nan,nan,nan,nan,1749519323.6607013,nan,nan,nan,nan,nan,nan,1749519323.2291148,nan,-2.8,nan,1749519323.1550667,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519323.3789673,9.213333333333333,-0.016000000000000007,1749519324.1867898,nan,nan,nan,nan,1749519262.9586105,nan
1749519323.6607013,nan,nan,nan,nan,nan,nan,1749519323.6607013,nan,nan,nan,nan,nan,nan,1749519323.2291148,nan,-2.8,nan,1749519323.1550667,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519323.3789673,9.213333333333333,-0.016000000000000007,1749519324.1867898,nan,nan,nan,nan,1749519262.9586105,nan
