Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1742869623.7120545,40.024,22920.967,0.025,0.07,0.001,0.015,1742869623.7413995,49.997,25765.234,36361.817,-34.814,-337.981,4.0,1742869623.654669,nan,-2.6,1742869623.5172293,4347,1742869623.8710816,nan,-0.0006666666666666666,1742869624.5978193,nan,nan,nan,nan,1742864085.6002867,nan
1742869624.740426,39.998,22910.055,0.025,-0.033,0.0,0.015,1742869624.7414243,49.994,25762.727,36358.456,-34.434,-338.271,4.0,1742869624.72447,nan,-2.5,1742869624.5379577,4348,1742869624.91001,0.08,0.0025333333333333336,1742869625.5982816,nan,nan,nan,nan,1742864085.6002867,nan
1742869625.696299,40.022,22923.342,-0.002,-0.033,0.0,0.01,1742869625.7058206,49.996,25762.486,36339.635,-34.243,-337.273,4.0,1742869625.6408513,nan,-2.4,1742869625.5561357,4348,1742869625.8541644,1.6000000000000003,0.0018666666666666669,1742869626.55765,nan,nan,nan,nan,1742864085.6002867,nan
1742869625.696299,40.022,22923.342,-0.002,-0.033,0.0,0.01,1742869625.7058206,49.996,25762.486,36339.635,-34.243,-337.273,4.0,1742869625.6408513,nan,-2.4,1742869625.5561357,4348,1742869625.8541644,1.6000000000000003,0.0018666666666666669,1742869626.55765,nan,nan,nan,nan,1742864085.6002867,nan
1742869627.6959646,39.991,22893.963,0.002,0.017,-0.0,0.009,1742869627.6959646,50.0,25761.525,36369.925,-34.728,-338.071,4.0,1742869627.6401303,nan,-2.3,1742869627.5182438,4348,1742869627.8675663,0.7866666666666667,0.0018666666666666666,1742869628.6483786,nan,nan,nan,nan,1742864085.6002867,nan
1742869628.708489,40.004,22898.406,0.002,0.004,0.001,0.009,1742869628.710484,50.001,25761.498,36362.725,-33.882,-337.779,4.0,1742869628.702505,nan,-2.3,1742869628.5511568,4348,1742869628.8913336,-1.2533333333333332,-0.0013333333333333333,1742869629.620359,nan,nan,nan,nan,1742864085.6002867,nan
1742869629.7604082,40.004,22898.406,0.023,0.004,0.001,0.009,1742869629.7594106,50.0,25761.62,36385.482,-34.8,-338.141,4.0,1742869629.7421079,nan,-2.3,1742869629.5195456,4348,1742869629.9298055,0.18666666666666665,0.0018666666666666673,1742869630.5934181,nan,nan,nan,nan,1742864085.6002867,nan
1742869630.6938207,39.977,22869.006,0.023,0.004,0.001,0.008,1742869630.6968138,50.001,25762.168,36366.073,-34.499,-338.519,4.0,1742869630.6788933,nan,-2.3,1742869630.551897,4348,1742869630.8734667,2.213333333333333,0.001466666666666667,1742869631.6095474,nan,nan,nan,nan,1742864085.6002867,nan
1742869631.7080452,39.994,22875.839,0.023,0.064,0.001,0.008,1742869631.7100418,50.0,25762.153,36341.642,-34.732,-337.239,4.0,1742869631.6924295,nan,-2.4,1742869631.5416803,4348,1742869631.8808627,1.2666666666666666,0.001733333333333334,1742869632.601638,nan,nan,nan,nan,1742864085.6002867,nan
1742869632.6999493,40.005,22870.506,0.034,0.064,0.001,0.008,1742869632.6999493,49.998,25761.058,36321.837,-34.138,-338.133,4.0,1742869632.6449423,nan,-2.4,1742869632.5199282,4348,1742869632.871958,2.4400000000000004,0.0008,1742869633.6407683,nan,nan,nan,nan,1742864085.6002867,nan
1742869633.7418401,40.005,22870.506,0.034,0.064,0.001,0.008,1742869633.912034,50.001,25762.939,36298.579,-34.425,-337.4,4.0,1742869633.7258835,nan,-2.5,1742869633.5125935,4348,1742869633.910572,1.9466666666666668,0.0013333333333333335,1742869634.6186595,nan,nan,nan,nan,1742864085.6002867,nan
