Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1743647902.1486423,40.005,23215.094,0.017,-0.315,0.001,0.007,1743647902.1516347,49.998,25698.678,36080.32,-29.139,-293.608,3.0,1743647902.166608,nan,-3.2,1743647902.0858088,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647902.3096128,nan,-0.005600000000000002,1743647903.0865386,nan,nan,nan,nan,1743647873.9900126,nan
1743647903.1460686,40.005,23215.094,0.006,-0.315,0.001,0.007,1743647903.1450713,49.995,25695.485,36100.31,-29.263,-293.997,3.0,1743647903.1590333,nan,-3.2,1743647903.0848289,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647903.3004615,nan,-0.0084,1743647904.0874135,nan,nan,nan,nan,1743647873.9900126,nan
1743647904.1463518,39.977,23202.779,0.006,-0.315,0.001,0.007,1743647904.1483374,49.994,25692.779,36107.687,-29.187,-293.675,3.0,1743647904.1633167,nan,-3.1,1743647904.0844204,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647904.3080337,2.306666666666666,0.005999999999999999,1743647905.1085002,nan,nan,nan,nan,1743647873.9900126,nan
1743647905.1716633,39.968,23187.962,0.011,-0.293,0.001,0.007,1743647905.1716633,49.996,25692.078,36094.873,-29.079,-292.989,3.0,1743647905.1876209,nan,-3.0,1743647905.1068916,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647905.3309107,nan,-0.0168,1743647906.1010542,nan,nan,nan,nan,1743647873.9900126,nan
1743647906.1773531,39.981,23179.516,0.011,-0.293,0.001,0.007,1743647906.16339,49.996,25692.078,36094.873,-29.079,-292.989,3.0,1743647906.1793475,nan,-3.0,1743647906.0990558,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647906.3221514,2.9466666666666668,0.00826666666666667,1743647907.0973418,nan,nan,nan,nan,1743647873.9900126,nan
1743647907.1566052,40.024,23203.821,0.011,-0.305,0.0,0.007,1743647907.1582417,49.997,25690.459,36104.731,-29.13,-293.576,3.0,1743647907.1751986,nan,-2.9,1743647907.0943785,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647907.3131642,2.2000000000000006,-0.008400000000000001,1743647908.0913973,nan,nan,nan,nan,1743647873.9900126,nan
1743647908.154137,39.99,23193.836,0.017,-0.305,0.0,0.005,1743647908.1521425,49.997,25690.459,36104.731,-29.13,-293.576,3.0,1743647908.1631129,nan,-2.8,1743647908.0885296,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647908.3040738,2.1599999999999997,-0.0017333333333333335,1743647909.089159,nan,nan,nan,nan,1743647873.9900126,nan
1743647909.1833441,39.998,23195.219,0.017,-0.285,0.001,0.005,1743647909.1536577,49.998,25690.422,36095.639,-29.277,-293.473,3.0,1743647909.1575367,nan,-2.8,1743647909.0861678,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647909.3114696,2.6799999999999997,-0.004000000000000001,1743647910.0779018,nan,nan,nan,nan,1743647873.9900126,nan
1743647910.1357462,39.987,23190.391,-0.003,-0.285,0.001,0.006,1743647910.1437254,50.001,25692.181,36081.907,-29.917,-294.491,3.0,1743647910.1477149,nan,-2.7,1743647910.0761142,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647910.3026578,2.6400000000000006,-0.009733333333333333,1743647911.0993612,nan,nan,nan,nan,1743647873.9900126,nan
1743647911.2538826,39.987,23190.391,-0.003,-0.285,0.001,0.006,1743647911.1654437,50.001,25692.959,36038.53,-29.226,-293.689,3.0,1743647911.1714287,nan,-2.7,1743647911.0973637,2,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743647911.3091886,2.1199999999999997,0.007999999999999998,1743647912.118229,nan,nan,nan,nan,1743647873.9900126,nan
