Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min)
1726275567.3952978,-0.99,-0.001,-0.006,0.021,1726275566.7053432,0.0,-4.0,1726275566.6269162,0,1726275566.6269162,8.6,0.0
1726275568.1474288,-0.99,-0.001,-0.006,0.021,1726275567.4582708,0.0,-4.0,1726275567.3952978,0,1726275567.3952978,7.8,-0.002
1726275568.9011922,-0.99,-0.001,-0.006,0.021,1726275568.2099593,0.0,-4.0,1726275568.1474288,0,1726275568.1474288,7.8,-0.002
1726275569.6510887,-0.99,-0.001,-0.006,0.021,1726275568.9639792,0.0,-4.1,1726275568.9011922,0,1726275568.9011922,7.6,-0.002
1726275570.405294,-0.99,-0.001,-0.006,0.021,1726275569.7292721,0.0,-4.1,1726275569.6510887,0,1726275569.6510887,8.8,0.0
1726275571.190058,-0.99,-0.001,-0.006,0.021,1726275570.483689,0.0,-4.1,1726275570.405294,0,1726275570.405294,8.6,0.0
1726275571.9570198,-0.99,-0.001,-0.006,0.021,1726275571.2528253,0.0,-4.1,1726275571.190058,0,1726275571.190058,8.4,-0.004
1726275572.726635,-0.99,-0.001,-0.006,0.021,1726275572.0195749,0.0,-4.1,1726275571.9414263,0,1726275571.9570198,7.8,0.002
1726275573.495,-0.99,-0.001,-0.006,0.021,1726275572.789206,0.0,-4.1,1726275572.726635,0,1726275572.726635,8.4,0.0
1726275574.2632604,-0.99,-0.001,-0.006,0.021,1726275573.5577755,0.0,-4.1,1726275573.495,0,1726275573.495,8.8,-0.002
1726275575.0474648,-0.99,-0.001,-0.006,0.021,1726275574.3416536,0.0,-4.2,1726275574.2632604,0,1726275574.2632604,8.2,-0.002
1726275575.8299968,-0.99,-0.001,-0.006,0.021,1726275575.1255734,0.0,-4.2,1726275575.0474648,0,1726275575.0474648,8.2,0.0
1726275576.6464474,-0.99,-0.001,-0.006,0.021,1726275575.9081843,0.0,-4.2,1726275575.8299968,0,1726275575.8299968,7.4,0.0
1726275577.4471953,-0.99,-0.001,-0.006,0.021,1726275576.724629,0.0,-4.2,1726275576.6464474,0,1726275576.6464474,7.4,-0.002
1726275578.2306604,-0.99,-0.001,-0.006,0.021,1726275577.5097644,0.0,-4.2,1726275577.4471953,0,1726275577.4471953,8.2,-0.002
1726275579.0308683,-0.99,-0.001,-0.006,0.021,1726275578.3090708,0.0,-4.3,1726275578.2306604,0,1726275578.2306604,7.6,0.0
1726275579.8447478,-0.99,-0.001,-0.006,0.021,1726275579.1092472,0.0,-4.3,1726275579.0308683,0,1726275579.0308683,7.8,0.0
1726275580.646385,-0.99,-0.001,-0.006,0.021,1726275579.9228957,0.0,-4.3,1726275579.8447478,0,1726275579.8447478,8.8,0.0
1726275581.4613092,-0.99,-0.001,-0.006,0.021,1726275580.7247636,0.0,-4.3,1726275580.646385,0,1726275580.646385,9.0,0.0
1726275582.261795,-0.99,-0.001,-0.006,0.021,1726275581.524092,0.0,-4.3,1726275581.4613092,0,1726275581.4613092,8.6,0.0
1726275583.061837,-0.99,-0.001,-0.006,0.021,1726275582.3246026,0.0,-4.3,1726275582.261795,0,1726275582.261795,8.4,0.0
1726275583.8772724,-0.99,-0.001,-0.006,0.021,1726275583.140195,0.0,-4.4,1726275583.061837,0,1726275583.061837,7.8,0.0
1726275584.6939945,-0.99,-0.001,-0.006,0.021,1726275583.9709744,0.0,-4.4,1726275583.8772724,0,1726275583.8772724,8.2,-0.004
1726275585.5286245,-0.99,-0.001,-0.006,0.021,1726275584.7723691,0.0,-4.4,1726275584.6939945,0,1726275584.6939945,8.2,0.0
