Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1744736053.9421241,39.997,22030.372,0.034,161.848,0.381,0.011,1744736053.9421241,49.998,25570.906,35941.115,-34.2,-334.571,6.0,1744736054.009115,156.36,-3.0,1744736053.891468,1936,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1095, 50, 25, 12, 4, 6, 11, 10, 27, 39, 33, 69, 85, 111, 122, 101, 72, 36, 14, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736054.1094596,5.813333333333334,0.003066666666666667,1744736054.8955965,nan,nan,nan,nan,1744736020.027945,nan
1744736054.947737,39.997,22030.372,0.062,161.848,0.381,0.011,1744736054.947737,49.998,25570.906,35941.115,-34.2,-334.571,6.0,1744736055.0150187,156.49,-2.9,1744736054.8860834,2060,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1144, 50, 28, 14, 4, 6, 11, 10, 28, 42, 36, 71, 90, 129, 129, 117, 82, 41, 14, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736055.1153867,6.746666666666666,0.0016,1744736055.9014955,nan,nan,nan,nan,1744736020.027945,nan
1744736056.1884196,39.991,22017.404,0.062,161.848,0.381,0.006,1744736055.9713838,50.001,25571.174,35918.37,-34.158,-334.937,6.0,1744736056.0212793,156.46,-2.8,1744736055.8914673,2161,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1180, 52, 30, 14, 6, 6, 11, 10, 28, 42, 36, 75, 93, 134, 132, 124, 101, 57, 16, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736056.1218588,7.106666666666666,-0.0016000000000000005,1744736056.9135644,nan,nan,nan,nan,1744736020.027945,nan
1744736056.9776955,39.991,22011.678,0.062,162.339,0.382,0.006,1744736057.0108228,49.998,25568.698,35918.644,-34.074,-334.385,6.0,1744736057.0500739,156.61,-2.7,1744736056.9135644,2238,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1231, 56, 30, 15, 6, 6, 11, 10, 28, 42, 36, 75, 93, 137, 134, 127, 104, 65, 18, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736057.1446474,5.666666666666669,0.0,1744736057.9301314,nan,nan,nan,nan,1744736020.027945,nan
1744736057.9813347,39.971,21981.455,0.087,162.339,0.382,0.009,1744736058.012602,49.997,25566.606,35915.215,-34.294,-334.639,6.0,1744736058.0570984,156.92,-2.6,1744736057.9301314,2290,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1281, 57, 31, 15, 6, 6, 11, 10, 28, 42, 36, 75, 93, 137, 134, 127, 104, 65, 18, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736058.148607,5.879999999999999,-0.0002666666666666667,1744736058.950212,nan,nan,nan,nan,1744736020.027945,nan
1744736059.0024586,40.003,21992.859,0.045,162.61,0.382,0.009,1744736059.0193868,49.996,25565.282,35921.182,-34.326,-334.641,6.0,1744736059.061534,156.52,-2.5,1744736058.9401634,2333,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1322, 57, 33, 15, 6, 6, 11, 10, 28, 42, 36, 75, 93, 137, 134, 127, 104, 65, 18, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736059.15327,5.973333333333333,0.0033333333333333344,1744736059.9479477,nan,nan,nan,nan,1744736020.027945,nan
1744736059.9952013,40.009,22004.969,0.045,162.61,0.382,0.011,1744736060.0253818,49.997,25564.265,35920.915,-34.033,-334.597,6.0,1744736060.0754583,156.62,-2.5,1744736059.9479477,2368,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1354, 57, 36, 15, 6, 6, 11, 10, 28, 42, 36, 75, 93, 137, 134, 127, 104, 65, 18, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736060.1609635,5.506666666666665,0.0048000000000000004,1744736060.9550247,nan,nan,nan,nan,1744736020.027945,nan
1744736061.1982162,40.017,22009.225,0.044,164.213,0.383,0.011,1744736061.031991,49.995,25561.779,35968.273,-34.768,-335.376,6.0,1744736061.0795596,156.34,-2.5,1744736060.9550247,2419,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1402, 58, 38, 15, 6, 6, 11, 10, 28, 42, 36, 75, 93, 137, 134, 127, 104, 65, 18, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736061.168024,6.160000000000001,0.0048000000000000004,1744736061.9598582,nan,nan,nan,nan,1744736020.027945,nan
1744736062.0176437,40.017,22009.225,0.04,164.213,0.383,0.011,1744736062.03839,49.997,25561.154,35952.587,-34.62,-333.927,6.0,1744736062.0689235,156.26,-2.5,1744736061.9598582,2461,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1441, 59, 38, 16, 7, 6, 11, 10, 28, 42, 36, 75, 93, 137, 134, 127, 104, 65, 18, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736062.1733413,6.013333333333333,0.0063999999999999994,1744736062.9384966,nan,nan,nan,nan,1744736020.027945,nan
1744736063.0151772,40.0,21997.4,0.04,164.462,0.382,0.008,1744736063.066775,49.998,25561.27,35944.793,-34.62,-334.476,6.0,1744736063.066775,156.66,-2.5,1744736062.9384966,2504,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1480, 62, 38, 17, 7, 6, 11, 10, 28, 42, 36, 75, 93, 137, 134, 127, 104, 65, 18, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736063.167367,5.7200000000000015,0.0032,1744736063.944042,nan,nan,nan,nan,1744736020.027945,nan
